prov_code,name,name_en,fname,fname_en,level,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,grdp_2016,grdp_2018,grdp_2019,grdp_2020,grdp_2021,grdp_2017,area,order
77,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Tỉnh Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Province,Tỉnh,1117607,1127244,1138281,1152218,1167937,1176079,241.54,309.61,300.38,263.26,269.57,263.08,1982.25,7
89,An Giang,An Giang,Tỉnh An Giang,An Giang Province,Tỉnh,1976372,1954177,1931000,1907401,1904532,1909506,33.12,40.47,44.53,46.6,48.09,36.19,3527.81,6
87,Đồng Tháp,Dong Thap,Tỉnh Đồng Tháp,Dong Thap Province,Tỉnh,1619011,1612489,1606069,1598754,1600014,1601306,38.43,47.35,51.47,54.09,54.65,42.35,3389.1,23
80,Long An,Long An,Tỉnh Long An,Long An Province,Tỉnh,1645215,1662280,1678929,1695100,1713658,1725752,50.25,65.72,72.8,76.97,79.67,57.31,4491.73,39
79,Hồ Chí Minh,Ho Chi Minh,Thành phố Hồ Chí Minh,Ho Chi Minh City,Thành phố Trung ương,8479141,8649646,8843200,9038566,9227598,9166840,118.59,138.64,148.51,148.65,144.38,128.86,2109.47,1
74,Bình Dương,Binh Duong,Tỉnh Bình Dương,Binh Duong Province,Tỉnh,2138788,2227154,2345184,2456319,2580550,2596785,124.23,137.67,147.38,150.98,158.86,131.43,2692.39,14
60,Bình Thuận,Binh Thuan,Tỉnh Bình Thuận,Binh Thuan Province,Tỉnh,1213562,1220467,1227269,1232267,1239256,1246306,43.18,53.39,64.05,67.53,70.77,47.9,7939.7,16
75,Đồng Nai,Dong Nai,Tỉnh Đồng Nai,Dong Nai Province,Tỉnh,2951368,3004857,3055089,3113713,3177401,3169103,86.58,103.04,110.68,114.96,121.25,93.86,5861.69,22
72,Tây Ninh,Tay Ninh,Tỉnh Tây Ninh,Tay Ninh Province,Tỉnh,1139654,1151074,1160681,1171683,1178329,1181907,50.0,62.36,70.59,74.47,76.33,56.72,4041.92,53
58,Ninh Thuận,Ninh Thuan,Tỉnh Ninh Thuận,Ninh Thuan Province,Tỉnh,581497,585375,588860,591032,593644,596049,34.69,43.66,52.7,59.96,69.68,39.26,3359.69,43
70,Bình Phước,Binh Phuoc,Tỉnh Bình Phước,Binh Phuoc Province,Tỉnh,962675,972610,984910,997766,1011076,1024285,45.06,56.08,62.61,69.28,75.59,51.99,6875.01,15
68,Lâm Đồng,Lam Dong,Tỉnh Lâm Đồng,Lam Dong Province,Tỉnh,1271315,1281339,1291441,1299335,1309792,1321839,46.75,56.04,60.52,63.18,66.61,52.93,9786.52,36
67,Đắk Nông,Dak Nong,Tỉnh Đắk Nông,Dak Nong Province,Tỉnh,594431,604892,615420,625822,637907,664416,41.28,44.0,45.47,47.66,52.83,44.17,6511.98,20
56,Khánh Hòa,Khanh Hoa,Tỉnh Khánh Hòa,Khanh Hoa Province,Tỉnh,1207163,1216289,1224485,1232823,1240436,1248062,51.82,63.89,70.65,65.42,62.68,57.86,-10162.56,32
